LogID,lat,lon,alt,time
355,52.392291667,13.039573333,30.7,2023-01-20T15:36:17.000Z
356,52.392291667,13.039573333,30.7,2023-01-20T15:36:17.000Z
357,52.392311667,13.039685,30.8,2023-01-20T15:36:22.000Z
358,52.392308333,13.039701667,29.9,2023-01-20T15:36:23.000Z
359,52.392308333,13.039701667,29.9,2023-01-20T15:36:23.000Z
360,52.392305,13.039816667,28.0,2023-01-20T15:36:28.000Z
361,52.392298333,13.039853333,28.8,2023-01-20T15:36:30.000Z
362,52.392291667,13.03986,29.4,2023-01-20T15:36:31.000Z
363,52.392315,13.03994,27.0,2023-01-20T15:36:34.000Z
364,52.392315,13.039981667,27.4,2023-01-20T15:36:36.000Z
365,52.392356667,13.040026667,24.9,2023-01-20T15:36:38.000Z
366,52.392358333,13.040063333,24.9,2023-01-20T15:36:40.000Z
367,52.392366667,13.040096667,25.8,2023-01-20T15:36:42.000Z
368,52.392371667,13.040136667,24.8,2023-01-20T15:36:44.000Z
369,52.39239,13.040175,25.7,2023-01-20T15:36:46.000Z
370,52.392383333,13.04021,24.7,2023-01-20T15:36:48.000Z
371,52.392383333,13.040251667,25.8,2023-01-20T15:36:50.000Z
372,52.392383333,13.040251667,25.8,2023-01-20T15:36:50.000Z
373,52.392415,13.040325,27.7,2023-01-20T15:36:54.000Z
374,52.392426667,13.040363333,28.2,2023-01-20T15:36:56.000Z
375,52.392426667,13.040363333,28.2,2023-01-20T15:36:56.000Z
376,52.392406667,13.040463333,32.6,2023-01-20T15:37:01.000Z
377,52.392411667,13.04051,32.2,2023-01-20T15:37:03.000Z
378,52.392411667,13.04051,32.2,2023-01-20T15:37:03.000Z
379,52.392435,13.040591667,30.1,2023-01-20T15:37:07.000Z
380,52.392448333,13.040631667,31.3,2023-01-20T15:37:09.000Z
381,52.392453333,13.040653333,30.8,2023-01-20T15:37:10.000Z
382,52.392448333,13.040706667,29.3,2023-01-20T15:37:13.000Z
383,52.392461667,13.040746667,31.0,2023-01-20T15:37:15.000Z
384,52.392463333,13.040791667,30.9,2023-01-20T15:37:17.000Z
385,52.392461667,13.040825,30.2,2023-01-20T15:37:19.000Z
386,52.392468333,13.040868333,29.8,2023-01-20T15:37:21.000Z
387,52.392481667,13.04091,29.0,2023-01-20T15:37:23.000Z
388,52.392486667,13.040943333,28.5,2023-01-20T15:37:25.000Z
389,52.392491667,13.040981667,28.3,2023-01-20T15:37:27.000Z
390,52.392498333,13.04102,27.8,2023-01-20T15:37:29.000Z
391,52.392498333,13.04102,27.8,2023-01-20T15:37:29.000Z
392,52.392523333,13.041095,26.1,2023-01-20T15:37:33.000Z
393,52.392523333,13.041123333,25.1,2023-01-20T15:37:35.000Z
394,52.392523333,13.041123333,25.1,2023-01-20T15:37:35.000Z
395,52.392575,13.041191667,26.8,2023-01-20T15:37:40.000Z
396,52.392595,13.041201667,27.9,2023-01-20T15:37:42.000Z
397,52.392595,13.041201667,27.9,2023-01-20T15:37:42.000Z
398,52.392643333,13.0412,30.4,2023-01-20T15:37:46.000Z
399,52.392678333,13.041198333,29.5,2023-01-20T15:37:48.000Z
400,52.3927,13.041196667,27.8,2023-01-20T15:37:49.000Z
401,52.392738333,13.041208333,26.7,2023-01-20T15:37:52.000Z
402,52.392756667,13.041211667,27.0,2023-01-20T15:37:54.000Z
403,52.392781667,13.041216667,26.5,2023-01-20T15:37:56.000Z
404,52.392803333,13.041216667,28.7,2023-01-20T15:37:58.000Z
405,52.392826667,13.041223333,31.7,2023-01-20T15:38:00.000Z
406,52.392856667,13.041218333,34.7,2023-01-20T15:38:02.000Z
407,52.392856667,13.041218333,34.7,2023-01-20T15:38:02.000Z
408,52.392908333,13.041211667,33.6,2023-01-20T15:38:06.000Z
409,52.392931667,13.041201667,33.4,2023-01-20T15:38:08.000Z
410,52.392931667,13.041201667,33.4,2023-01-20T15:38:08.000Z
411,52.392985,13.041205,32.2,2023-01-20T15:38:12.000Z
412,52.393006667,13.041206667,32.1,2023-01-20T15:38:14.000Z
413,52.393006667,13.041206667,32.1,2023-01-20T15:38:14.000Z
